Customer_ID,Customer_Name,Email,Age_Group,Location,Member_Since,Active_Status
101,Michael Clark,bruce.wayne@example.com,18-25,Seattle,2021-11-13,True
102,Clark Kent,bruce.wayne@example.com,26-35,Miami,2022-07-12,True
103,Mary Jane,sarah.connor@example.com,36-45,Dallas,2021-04-06,True
104,James Bond,emily.davis@example.com,26-35,Chicago,2021-01-05,True
105,Jane Smith,john.doe@example.com,18-25,New York,2022-11-05,True
106,Bruce Wayne,james.bond@example.com,56+,Boston,2022-09-01,True
107,Mary Jane,emily.davis@example.com,46-55,Dallas,2021-09-05,True
108,Emily Davis,emily.davis@example.com,36-45,Miami,2022-04-25,True
109,John Doe,clark.kent@example.com,56+,Dallas,2021-09-13,True
110,John Doe,michael.clark@example.com,26-35,Chicago,2022-09-19,True
111,Jane Smith,sarah.connor@example.com,56+,Denver,2023-06-03,True
112,Sarah Connor,michael.clark@example.com,56+,New York,2022-05-01,True
113,Jane Smith,bruce.wayne@example.com,26-35,Chicago,2021-11-24,True
114,Bruce Wayne,james.bond@example.com,18-25,Austin,2022-09-06,True
115,Bruce Wayne,jane.smith@example.com,18-25,Seattle,2023-01-16,True
116,Mary Jane,bruce.wayne@example.com,18-25,New York,2021-09-02,True
117,Clark Kent,bruce.wayne@example.com,36-45,Austin,2021-07-22,True
118,Jane Smith,robert.brown@example.com,36-45,Los Angeles,2023-09-08,True
119,Clark Kent,michael.clark@example.com,26-35,Austin,2021-10-05,True
120,James Bond,robert.brown@example.com,36-45,San Francisco,2022-10-26,True
121,John Doe,michael.clark@example.com,56+,Austin,2023-08-17,True
122,Mary Jane,sarah.connor@example.com,18-25,Boston,2023-08-13,True
123,Emily Davis,bruce.wayne@example.com,18-25,Los Angeles,2021-05-12,True
124,Jane Smith,bruce.wayne@example.com,18-25,Austin,2023-01-24,True
125,John Doe,robert.brown@example.com,56+,Chicago,2021-02-26,True
126,Mary Jane,bruce.wayne@example.com,46-55,Dallas,2023-08-17,True
127,Jane Smith,bruce.wayne@example.com,46-55,Miami,2021-04-02,True
128,Mary Jane,emily.davis@example.com,46-55,Denver,2021-07-08,True
129,Emily Davis,clark.kent@example.com,46-55,Boston,2022-07-07,True
130,Emily Davis,michael.clark@example.com,56+,New York,2022-05-09,True
131,Mary Jane,robert.brown@example.com,26-35,San Francisco,2022-04-18,True
132,Jane Smith,robert.brown@example.com,56+,Austin,2023-02-21,True
133,Robert Brown,john.doe@example.com,36-45,Dallas,2021-12-04,True
134,John Doe,robert.brown@example.com,26-35,Austin,2023-12-11,True
135,Jane Smith,emily.davis@example.com,46-55,Los Angeles,2021-12-23,True
136,Michael Clark,sarah.connor@example.com,46-55,Denver,2022-05-05,True
137,Bruce Wayne,john.doe@example.com,26-35,San Francisco,2023-07-18,True
138,Clark Kent,clark.kent@example.com,18-25,San Francisco,2022-03-12,True
139,Sarah Connor,robert.brown@example.com,56+,Denver,2022-02-05,True
140,Sarah Connor,mary.jane@example.com,46-55,San Francisco,2021-03-10,True
141,Clark Kent,bruce.wayne@example.com,36-45,Chicago,2023-12-03,True
142,Robert Brown,sarah.connor@example.com,56+,Seattle,2022-12-12,True
143,Michael Clark,jane.smith@example.com,36-45,San Francisco,2022-08-27,True
144,Bruce Wayne,james.bond@example.com,18-25,Los Angeles,2022-10-26,True
145,Robert Brown,john.doe@example.com,46-55,Denver,2023-04-01,True
146,Emily Davis,mary.jane@example.com,18-25,Los Angeles,2023-10-15,True
147,James Bond,clark.kent@example.com,26-35,Dallas,2021-01-02,True
148,Emily Davis,emily.davis@example.com,56+,San Francisco,2021-01-05,True
149,James Bond,james.bond@example.com,18-25,Miami,2023-11-06,True
150,Sarah Connor,clark.kent@example.com,18-25,New York,2022-01-17,True
151,Michael Clark,sarah.connor@example.com,26-35,Austin,2023-04-05,True
152,Clark Kent,robert.brown@example.com,56+,Los Angeles,2021-08-15,True
153,Emily Davis,michael.clark@example.com,18-25,Austin,2022-02-04,True
154,James Bond,michael.clark@example.com,36-45,New York,2022-10-10,True
155,Mary Jane,bruce.wayne@example.com,46-55,Austin,2021-07-27,True
156,Clark Kent,sarah.connor@example.com,56+,Los Angeles,2023-03-02,True
157,John Doe,clark.kent@example.com,36-45,New York,2022-03-11,True
158,Bruce Wayne,mary.jane@example.com,18-25,Dallas,2022-02-08,True
159,Michael Clark,james.bond@example.com,36-45,San Francisco,2023-01-05,True
160,Clark Kent,clark.kent@example.com,46-55,Boston,2021-10-07,True
161,Bruce Wayne,sarah.connor@example.com,26-35,San Francisco,2021-04-02,True
162,Clark Kent,emily.davis@example.com,36-45,Austin,2023-11-27,True
163,Mary Jane,bruce.wayne@example.com,36-45,Austin,2023-04-07,True
164,Clark Kent,clark.kent@example.com,26-35,Los Angeles,2023-07-09,True
165,Jane Smith,emily.davis@example.com,56+,Denver,2021-07-25,True
166,Robert Brown,jane.smith@example.com,36-45,Denver,2022-09-09,True
167,Robert Brown,sarah.connor@example.com,18-25,Miami,2021-06-21,True
168,Clark Kent,clark.kent@example.com,26-35,New York,2022-08-27,True
169,Bruce Wayne,robert.brown@example.com,56+,Dallas,2022-04-16,True
170,John Doe,mary.jane@example.com,26-35,New York,2022-07-14,True
171,Clark Kent,bruce.wayne@example.com,18-25,Boston,2022-01-17,True
172,James Bond,james.bond@example.com,26-35,Chicago,2023-06-23,True
173,James Bond,john.doe@example.com,46-55,Dallas,2022-08-15,True
174,Jane Smith,bruce.wayne@example.com,26-35,Denver,2022-04-21,True
175,Robert Brown,sarah.connor@example.com,36-45,Austin,2021-02-08,True
176,Michael Clark,robert.brown@example.com,46-55,Boston,2023-01-25,True
177,Bruce Wayne,michael.clark@example.com,36-45,Austin,2021-04-26,True
178,Bruce Wayne,john.doe@example.com,26-35,Austin,2022-01-17,True
179,Michael Clark,robert.brown@example.com,18-25,San Francisco,2022-11-13,True
180,Bruce Wayne,jane.smith@example.com,18-25,San Francisco,2023-06-27,True
181,Sarah Connor,john.doe@example.com,18-25,Los Angeles,2021-03-09,True
182,Mary Jane,james.bond@example.com,56+,Los Angeles,2023-09-24,True
183,Clark Kent,sarah.connor@example.com,26-35,San Francisco,2023-02-04,True
184,Jane Smith,james.bond@example.com,26-35,Seattle,2021-09-10,True
185,John Doe,john.doe@example.com,18-25,Boston,2021-10-07,True
186,Jane Smith,jane.smith@example.com,26-35,New York,2022-10-12,True
187,Robert Brown,bruce.wayne@example.com,18-25,Austin,2023-01-20,True
188,Michael Clark,michael.clark@example.com,46-55,Miami,2023-04-05,True
189,Mary Jane,jane.smith@example.com,46-55,New York,2021-12-21,True
190,Sarah Connor,mary.jane@example.com,18-25,San Francisco,2023-09-10,True
191,Mary Jane,robert.brown@example.com,18-25,Chicago,2021-08-02,True
192,Jane Smith,clark.kent@example.com,36-45,Boston,2021-12-06,True
193,Robert Brown,john.doe@example.com,46-55,Boston,2021-09-06,True
194,Mary Jane,emily.davis@example.com,36-45,Los Angeles,2023-01-02,True
195,James Bond,john.doe@example.com,46-55,Chicago,2021-03-25,True
196,Clark Kent,michael.clark@example.com,26-35,Miami,2023-10-27,True
197,Robert Brown,jane.smith@example.com,26-35,Austin,2022-07-06,True
198,John Doe,james.bond@example.com,36-45,Chicago,2022-03-18,True
199,James Bond,clark.kent@example.com,46-55,Denver,2021-06-19,True
200,James Bond,bruce.wayne@example.com,18-25,Boston,2021-12-24,True
201,Michael Clark,james.bond@example.com,36-45,Chicago,2023-02-18,True
202,Jane Smith,michael.clark@example.com,36-45,San Francisco,2023-03-02,True
203,Emily Davis,bruce.wayne@example.com,18-25,Miami,2021-04-02,True
204,Michael Clark,john.doe@example.com,56+,Dallas,2022-10-24,True
205,Bruce Wayne,john.doe@example.com,56+,New York,2021-03-08,True
206,Michael Clark,emily.davis@example.com,46-55,Denver,2023-12-25,True
207,Robert Brown,michael.clark@example.com,18-25,Boston,2022-03-18,True
208,Bruce Wayne,clark.kent@example.com,46-55,New York,2022-02-06,True
209,Emily Davis,clark.kent@example.com,26-35,New York,2021-01-20,True
210,Emily Davis,emily.davis@example.com,18-25,San Francisco,2022-10-09,True
211,Bruce Wayne,sarah.connor@example.com,36-45,Dallas,2022-06-09,True
212,Mary Jane,emily.davis@example.com,56+,Los Angeles,2023-02-09,True
213,Bruce Wayne,mary.jane@example.com,46-55,New York,2021-10-17,True
214,Jane Smith,emily.davis@example.com,26-35,San Francisco,2021-01-04,True
215,Mary Jane,james.bond@example.com,36-45,Dallas,2023-09-08,True
216,Robert Brown,robert.brown@example.com,56+,Seattle,2022-05-14,True
217,Robert Brown,robert.brown@example.com,56+,Los Angeles,2023-09-11,True
218,Clark Kent,clark.kent@example.com,26-35,Miami,2023-01-19,True
219,Jane Smith,emily.davis@example.com,18-25,San Francisco,2023-04-06,True
220,Jane Smith,robert.brown@example.com,56+,Austin,2022-05-17,True
221,Bruce Wayne,robert.brown@example.com,36-45,Miami,2022-08-23,True
222,Jane Smith,jane.smith@example.com,18-25,Dallas,2022-12-24,True
223,James Bond,robert.brown@example.com,56+,Denver,2021-02-20,True
224,Jane Smith,james.bond@example.com,18-25,Miami,2021-03-09,True
225,Mary Jane,bruce.wayne@example.com,36-45,Seattle,2021-08-01,True
226,Jane Smith,robert.brown@example.com,26-35,Denver,2022-02-12,True
227,Michael Clark,john.doe@example.com,36-45,New York,2021-11-11,True
228,Bruce Wayne,clark.kent@example.com,36-45,Denver,2023-10-07,True
229,Clark Kent,clark.kent@example.com,26-35,New York,2022-06-23,True
230,Michael Clark,james.bond@example.com,26-35,Miami,2021-03-17,True
231,Sarah Connor,james.bond@example.com,56+,Denver,2023-01-03,True
232,Clark Kent,john.doe@example.com,36-45,Austin,2022-06-05,True
233,Robert Brown,bruce.wayne@example.com,56+,Denver,2021-04-02,True
234,James Bond,james.bond@example.com,26-35,Boston,2021-11-25,True
235,Jane Smith,robert.brown@example.com,26-35,Denver,2022-08-28,True
236,Clark Kent,clark.kent@example.com,56+,New York,2021-01-11,True
237,Jane Smith,clark.kent@example.com,18-25,Chicago,2023-07-02,True
238,Robert Brown,sarah.connor@example.com,36-45,Denver,2021-12-02,True
239,Mary Jane,sarah.connor@example.com,46-55,San Francisco,2023-07-28,True
240,Clark Kent,clark.kent@example.com,46-55,Boston,2022-12-06,True
241,Emily Davis,clark.kent@example.com,36-45,Boston,2021-07-15,True
242,Mary Jane,robert.brown@example.com,18-25,Chicago,2021-12-27,True
243,John Doe,robert.brown@example.com,18-25,San Francisco,2022-03-01,True
244,Clark Kent,robert.brown@example.com,18-25,Los Angeles,2023-04-16,True
245,Jane Smith,sarah.connor@example.com,18-25,Denver,2021-03-05,True
246,Clark Kent,clark.kent@example.com,46-55,San Francisco,2021-01-07,True
247,John Doe,robert.brown@example.com,36-45,Dallas,2021-12-11,True
248,Mary Jane,mary.jane@example.com,26-35,New York,2022-09-07,True
249,Bruce Wayne,john.doe@example.com,46-55,Austin,2021-10-02,True
250,Jane Smith,james.bond@example.com,46-55,Denver,2022-12-05,True
251,Emily Davis,james.bond@example.com,36-45,Denver,2023-09-28,True
252,John Doe,sarah.connor@example.com,46-55,New York,2021-11-14,True
253,Michael Clark,sarah.connor@example.com,46-55,Boston,2022-02-04,True
254,Robert Brown,michael.clark@example.com,56+,Los Angeles,2022-08-24,True
255,Sarah Connor,emily.davis@example.com,26-35,San Francisco,2022-04-18,True
256,Jane Smith,jane.smith@example.com,36-45,Chicago,2023-02-06,True
257,Michael Clark,john.doe@example.com,56+,Austin,2021-02-23,True
258,John Doe,bruce.wayne@example.com,26-35,Dallas,2022-09-13,True
259,Emily Davis,clark.kent@example.com,56+,New York,2021-09-06,True
260,Sarah Connor,sarah.connor@example.com,56+,Dallas,2022-09-15,True
261,Sarah Connor,bruce.wayne@example.com,18-25,San Francisco,2023-10-04,True
262,Robert Brown,michael.clark@example.com,36-45,New York,2023-12-15,True
263,Bruce Wayne,michael.clark@example.com,56+,New York,2022-02-17,True
264,John Doe,clark.kent@example.com,18-25,Austin,2021-07-20,True
265,Clark Kent,jane.smith@example.com,26-35,Seattle,2022-03-18,True
266,Sarah Connor,sarah.connor@example.com,56+,Los Angeles,2021-07-26,True
267,Mary Jane,robert.brown@example.com,36-45,Austin,2023-05-23,True
268,John Doe,jane.smith@example.com,18-25,Dallas,2023-02-18,True
269,James Bond,james.bond@example.com,26-35,New York,2021-02-10,True
270,Jane Smith,bruce.wayne@example.com,26-35,Miami,2022-04-07,True
271,Sarah Connor,sarah.connor@example.com,46-55,Los Angeles,2023-07-01,True
272,Clark Kent,emily.davis@example.com,18-25,Denver,2023-02-22,True
273,Michael Clark,michael.clark@example.com,36-45,San Francisco,2022-11-19,True
274,Jane Smith,mary.jane@example.com,26-35,Dallas,2021-01-09,True
275,James Bond,michael.clark@example.com,26-35,New York,2022-06-18,True
276,Clark Kent,james.bond@example.com,18-25,Miami,2023-01-22,True
277,James Bond,mary.jane@example.com,56+,New York,2021-04-13,True
278,Robert Brown,clark.kent@example.com,36-45,Seattle,2023-05-07,True
279,James Bond,emily.davis@example.com,26-35,New York,2022-11-06,True
280,James Bond,mary.jane@example.com,56+,Miami,2022-10-23,True
281,James Bond,jane.smith@example.com,18-25,Miami,2022-09-12,True
282,Sarah Connor,michael.clark@example.com,18-25,Dallas,2021-08-14,True
283,Bruce Wayne,clark.kent@example.com,56+,Seattle,2021-02-10,True
284,Mary Jane,jane.smith@example.com,56+,Austin,2021-01-02,True
285,Bruce Wayne,james.bond@example.com,18-25,Denver,2022-01-04,True
286,John Doe,clark.kent@example.com,36-45,New York,2022-06-12,True
287,Emily Davis,clark.kent@example.com,56+,New York,2022-05-07,True
288,Bruce Wayne,emily.davis@example.com,26-35,Chicago,2021-01-23,True
289,James Bond,jane.smith@example.com,36-45,Austin,2023-03-02,True
290,Mary Jane,emily.davis@example.com,36-45,Chicago,2022-03-26,True
291,Clark Kent,michael.clark@example.com,36-45,Austin,2021-03-15,True
292,Mary Jane,emily.davis@example.com,46-55,Miami,2022-09-23,True
293,James Bond,clark.kent@example.com,36-45,Seattle,2023-06-25,True
294,Sarah Connor,bruce.wayne@example.com,56+,Los Angeles,2023-12-20,True
295,Emily Davis,sarah.connor@example.com,18-25,Boston,2022-05-14,True
296,Sarah Connor,mary.jane@example.com,36-45,New York,2022-02-17,True
297,Emily Davis,bruce.wayne@example.com,36-45,New York,2021-12-12,True
298,Jane Smith,clark.kent@example.com,46-55,Miami,2023-11-06,True
299,Clark Kent,sarah.connor@example.com,56+,Chicago,2023-07-22,True
300,Clark Kent,john.doe@example.com,18-25,San Francisco,2021-04-09,True
301,Jane Smith,mary.jane@example.com,46-55,Chicago,2023-04-24,True
302,Robert Brown,james.bond@example.com,56+,Boston,2022-11-21,True
303,John Doe,jane.smith@example.com,18-25,New York,2021-06-02,True
304,Sarah Connor,john.doe@example.com,56+,Boston,2022-03-02,True
305,Clark Kent,jane.smith@example.com,18-25,Los Angeles,2023-07-09,True
306,Robert Brown,john.doe@example.com,18-25,Denver,2021-08-24,True
307,Bruce Wayne,jane.smith@example.com,46-55,Dallas,2021-01-21,True
308,Clark Kent,james.bond@example.com,18-25,Chicago,2021-11-12,True
309,Clark Kent,jane.smith@example.com,18-25,Seattle,2023-05-09,True
310,Bruce Wayne,james.bond@example.com,56+,Chicago,2021-03-17,True
311,Jane Smith,jane.smith@example.com,26-35,Dallas,2021-10-20,True
312,Michael Clark,mary.jane@example.com,26-35,Miami,2021-08-06,True
313,John Doe,sarah.connor@example.com,26-35,San Francisco,2021-02-19,True
314,Jane Smith,mary.jane@example.com,18-25,Los Angeles,2021-10-12,True
315,Bruce Wayne,robert.brown@example.com,18-25,Chicago,2023-01-16,True
316,John Doe,james.bond@example.com,26-35,Seattle,2021-09-11,True
317,Sarah Connor,mary.jane@example.com,26-35,Dallas,2022-04-21,True
318,Clark Kent,robert.brown@example.com,46-55,Miami,2022-12-24,True
319,Clark Kent,jane.smith@example.com,36-45,Chicago,2022-12-12,True
320,Mary Jane,emily.davis@example.com,56+,Boston,2021-02-23,True
321,Sarah Connor,john.doe@example.com,36-45,New York,2023-12-21,True
322,Sarah Connor,michael.clark@example.com,46-55,Austin,2023-04-22,True
323,Mary Jane,bruce.wayne@example.com,26-35,Boston,2022-11-16,True
324,Clark Kent,emily.davis@example.com,46-55,Boston,2021-11-03,True
325,Bruce Wayne,jane.smith@example.com,26-35,New York,2021-03-13,True
326,Jane Smith,clark.kent@example.com,36-45,Dallas,2022-08-20,True
327,Robert Brown,robert.brown@example.com,36-45,Dallas,2022-04-22,True
328,Robert Brown,mary.jane@example.com,26-35,Dallas,2023-11-24,True
329,Bruce Wayne,bruce.wayne@example.com,36-45,Boston,2023-07-25,True
330,Sarah Connor,james.bond@example.com,18-25,San Francisco,2021-08-15,True
331,John Doe,jane.smith@example.com,46-55,Los Angeles,2023-02-15,True
332,John Doe,robert.brown@example.com,36-45,Miami,2021-04-24,True
333,Michael Clark,bruce.wayne@example.com,56+,Austin,2023-07-21,True
334,Bruce Wayne,clark.kent@example.com,46-55,Boston,2022-06-12,True
335,Sarah Connor,clark.kent@example.com,56+,New York,2023-10-02,True
336,Michael Clark,sarah.connor@example.com,18-25,Dallas,2023-05-28,True
337,Robert Brown,mary.jane@example.com,18-25,New York,2021-03-03,True
338,John Doe,john.doe@example.com,46-55,Austin,2022-09-03,True
339,Emily Davis,mary.jane@example.com,36-45,San Francisco,2021-01-12,True
340,John Doe,clark.kent@example.com,46-55,Austin,2022-03-24,True
341,Bruce Wayne,robert.brown@example.com,36-45,Los Angeles,2023-10-21,True
342,Jane Smith,clark.kent@example.com,46-55,Seattle,2022-04-26,True
343,Emily Davis,john.doe@example.com,18-25,Chicago,2022-10-11,True
344,James Bond,mary.jane@example.com,26-35,Denver,2022-10-06,True
345,John Doe,robert.brown@example.com,46-55,New York,2022-11-19,True
346,Mary Jane,clark.kent@example.com,26-35,Seattle,2022-02-28,True
347,Sarah Connor,robert.brown@example.com,36-45,San Francisco,2022-10-10,True
348,Robert Brown,michael.clark@example.com,46-55,Chicago,2021-11-05,True
349,John Doe,sarah.connor@example.com,56+,Dallas,2021-10-26,True
350,Jane Smith,emily.davis@example.com,46-55,New York,2021-05-13,True
351,James Bond,james.bond@example.com,18-25,Dallas,2021-06-23,True
352,Michael Clark,robert.brown@example.com,46-55,Los Angeles,2021-02-17,True
353,Jane Smith,john.doe@example.com,46-55,San Francisco,2022-10-22,True
354,Robert Brown,john.doe@example.com,18-25,San Francisco,2022-09-20,True
355,Jane Smith,mary.jane@example.com,46-55,Austin,2021-10-07,True
356,Mary Jane,jane.smith@example.com,18-25,Boston,2022-08-23,True
357,Mary Jane,robert.brown@example.com,46-55,Seattle,2022-05-08,True
358,John Doe,mary.jane@example.com,18-25,New York,2021-01-05,True
359,Bruce Wayne,john.doe@example.com,46-55,Austin,2021-08-21,True
360,Emily Davis,john.doe@example.com,26-35,Los Angeles,2022-02-18,True
361,Robert Brown,james.bond@example.com,46-55,Dallas,2023-11-09,True
362,Jane Smith,bruce.wayne@example.com,56+,Miami,2023-02-10,True
363,Mary Jane,james.bond@example.com,26-35,San Francisco,2021-11-28,True
364,Emily Davis,sarah.connor@example.com,56+,Chicago,2021-12-05,True
365,James Bond,john.doe@example.com,26-35,Dallas,2023-05-22,True
366,James Bond,clark.kent@example.com,26-35,Chicago,2022-10-04,True
367,Robert Brown,bruce.wayne@example.com,26-35,Austin,2023-04-20,True
368,Sarah Connor,clark.kent@example.com,36-45,New York,2021-04-06,True
369,Bruce Wayne,robert.brown@example.com,56+,Dallas,2023-03-07,True
370,John Doe,robert.brown@example.com,36-45,San Francisco,2023-11-24,True
371,Mary Jane,jane.smith@example.com,18-25,Chicago,2023-01-16,True
372,Robert Brown,mary.jane@example.com,26-35,Dallas,2022-11-21,True
373,Sarah Connor,mary.jane@example.com,56+,San Francisco,2021-01-15,True
374,Emily Davis,bruce.wayne@example.com,46-55,Seattle,2023-09-09,True
375,Robert Brown,robert.brown@example.com,46-55,Denver,2023-05-25,True
376,James Bond,robert.brown@example.com,18-25,Miami,2021-09-15,True
377,Mary Jane,mary.jane@example.com,26-35,Denver,2021-05-28,True
378,Jane Smith,robert.brown@example.com,56+,Dallas,2021-07-15,True
379,Clark Kent,james.bond@example.com,56+,San Francisco,2023-02-14,True
380,Clark Kent,michael.clark@example.com,56+,New York,2021-10-19,True
381,Clark Kent,jane.smith@example.com,46-55,San Francisco,2021-03-04,True
